bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,2,0,0,,68,13493,ndu,dugu1248,{},8.38689,language,13.3966,,Dugun,"('Naan [naan1239]':1,'Saan [saan1245]':1)'Dugun [dugu1248][ndu]-l-':1",16105,safe
False,4,0,0,,68,13639,dbm,dugu1249,{},10.05,language,10.21,,Duguri,"('Badara Duguri [bada1259]':1,'Gar Duguri [gard1242]':1,'Northeast Duguri [nort2805]':1,'Southwest Duguri [sout2821]':1)'Duguri [dugu1249][dbm]-l-':1",16330,definitely endangered
False,1,0,0,,186,11689,dme,dugw1239,{},10.752,language,14.2134,,Dugwor,('Mikere [mike1242]':1)'Dugwor [dugw1239][dme]-l-':1,14527,safe
False,0,0,0,,186,11766,kbz,duhw1236,{},9.32586,language,8.77995,,Duhwa,'Duhwa [duhw1236][kbz]-l-':1,14616,safe
False,0,0,0,,96,5729,NOCODE_Duit,duit1239,{},5.786798,language,-73.021374,,Duit,'Duit [duit1239]-l-':1,8295,extinct
False,0,0,0,,207,21792,nke,duke1237,{},-7.97768,language,157.064,,Duke,'Duke [duke1237][nke]-l-':1,22668,safe
False,0,0,0,,68,13640,dbo,dulb1238,{},10.1911,language,9.94759,,Dulbu,'Dulbu [dulb1238][dbo]-l-':1,16331,severely endangered
False,0,0,0,,68,10715,duz,duli1241,{},9.11241,language,13.4232,,Duli-Gewe,'Duli-Gewe [duli1241][duz]-l-':1,13496,extinct
False,0,0,0,,68,19937,dma,duma1253,{},-0.91927,language,13.0046,,Duma,'Duma [duma1253][dma]-l-':1,21192,safe
False,3,0,0,,207,15098,duf,dumb1241,{},-22.0947,language,166.531,,Dumbea,"('Nrumee [nrum1234]':1,'Paita-Unya [pait1249]':1,'Wenyii [weny1239]':1)'Dumbea [dumb1241][duf]-l-':1",17543,vulnerable
True,0,0,0,,334,334,NOCODE_Dume,dume1236,{},,language,,,Dume,'Dume [dume1236]-l-':1,1460,safe
False,4,0,0,,336,9916,dus,dumi1241,{},27.45849,language,86.75699,,Dumi,"('Brasmi [bras1238]':1,'Kharbari [khar1291]':1,'Lamdija [lamd1238]':1,'Makpa [makp1238]':1)'Dumi [dumi1241][dus]-l-':1",12896,critically endangered
False,0,0,0,,207,14775,dmv,dump1242,{},5.93483,language,117.419,,Dumpas,'Dumpas [dump1242][dmv]-l-':1,17149,definitely endangered
False,0,0,0,,144,3903,wtf,dump1243,{},-5.82002,language,145.655,,Dumpu,'Dumpu [dump1243][wtf]-l-':1,5821,safe
False,0,0,0,,144,3901,dui,dumu1246,{},-5.55315,language,146.082,,Dumun,'Dumun [dumu1246][dui]-l-':1,5811,severely endangered
False,0,0,0,,,,duc,duna1248,{},-5.41439,language,142.475,,Duna,'Duna [duna1248][duc]-l-':1,263,safe
False,0,0,0,,179,8668,duh,dung1251,{},22.306,language,73.187,,Dungra Bhil,'Dungra Bhil [dung1251][duh]-l-':1,11450,safe
False,1,0,0,,336,9918,raa,dung1252,{},26.9813,language,87.3328,,Dungmali,('Khesang [khes1241]':1)'Dungmali [dung1252][raa]-l-':1,12903,definitely endangered
False,3,0,0,,336,12973,dng,dung1253,{},42.7292,language,76.8382,,Dungan,"('Ganzu [ganz1245]':1,'Shaanxi [shaa1242]':1,'Yage [yage1238]':1)'Dungan [dung1253][dng]-l-':1",15674,vulnerable
False,0,0,0,,128,652,dbv,dung1254,{},10.5043,language,8.19543,,Dungu,'Dungu [dung1254][dbv]-l-':1,2268,definitely endangered
False,11,0,0,,207,4338,duo,dupa1235,{},17.3748,language,122.188,,Dupaninan Agta,"('Barongagunay [baro1254]':1,'Bolos Point [bolo1267]':1,'Camonayan [camo1251]':1,'Palaui Island [pala1346]':1,'Peñablanca [pena1263]':1,'Roso [roso1237]':1,'Santa Ana-Gonzaga [sant1419]':1,'Santa Margarita [sant1418]':1,'Tanglagan [tang1350]':1,'Valley Cove [vall1250]':1,'Yaga [yaga1257]':1)'Dupaninan Agta [dupa1235][duo]-l-':1",6448,definitely endangered
False,0,0,0,,336,4939,drq,dura1244,{},28.173,language,84.435,,Dura,'Dura [dura1244][drq]-l-':1,7217,extinct
False,2,0,0,,207,6483,mvp,duri1242,{},-3.37081,language,119.871,,Duri,"('Cakke [cakk1237]':1,'Kalosi [kalo1260]':1)'Duri [duri1242][mvp]-l-':1",9198,safe
False,0,0,0,,70,70,dbn,duri1243,{},-1.38946,language,130.925,,Duriankere,'Duriankere [duri1243][dbn]-l-':1,553,severely endangered
False,4,0,0,,291,2898,pci,duru1236,{},19.0534,language,82.4881,,Duruwa,"('Dharba [dhar1246]':1,'Kukanar [kuka1245]':1,'Nethanar [neth1239]':1,'Tiriya [tiri1256]':1)'Duruwa [duru1236][pci]-l-':1",4679,vulnerable
False,0,0,0,,68,22182,dug,duru1249,{},-4.09629,language,39.322,,Duruma,'Duruma [duru1249][dug]-l-':1,22899,safe
False,0,0,0,,207,15115,dsn,dusn1237,{},-2.73859,language,134.391,,Dusner,'Dusner [dusn1237][dsn]-l-':1,17573,critically endangered
False,2,0,0,,207,6368,duw,dusu1267,{},-1.57408,language,114.979,,Dusun Witu,"('Dusun Pepas [dusu1268]':1,'Nuclear Dusun Witu [nucl1553]':1)'Dusun Witu [dusu1267][duw]-l-':1",8961,vulnerable
False,2,0,0,,207,4300,duq,dusu1269,{},-0.85277,language,115.392,,Dusun Malang,"('Bayan [baya1259]':1,'Nuclear Dusun Malang [nucl1554]':1)'Dusun Malang [dusu1269][duq]-l-':1",6371,vulnerable
False,0,0,0,,207,4300,dun,dusu1271,{},-1.95514,language,115.578,,Dusun Deyah,'Dusun Deyah [dusu1271][dun]-l-':1,6364,safe
False,0,0,0,,150,4032,dse,dutc1253,{},52.1251,language,4.91133,,Dutch Sign Language,'Dutch Sign Language [dutc1253][dse]-l-':1,6016,vulnerable
